;;;;;;;
STOCK OPNAME 31 AGUSTUS 2025;;;;;;;
SUDIN SDA (Jakarta Barat);;;;;;;
;;;;;;;
NO;GUDANG;KODE;NAMA ITEM/OBAT;TANGGAL OLEH;SATUAN;MERK/KEMASAN;STOCK;;;JUMLAH;;;;;;;;;;;;;;;
61;Gudang Posko Kembangan;1.1.7.01.03.08.002.00322;Lampu Bulb Led;2024-11-25;BUAH;14 Watt; 12,00 
62;Gudang Posko Kembangan;1.1.7.01.03.08.002.00322;Lampu Bulb Led;2024-11-25;BUAH;14 Watt; 1,00 
63;Gudang Posko Kembangan;1.1.7.01.03.08.002.00358;Lampu Led;2024-11-25;BUAH;18 W; 16,00 
64;Gudang Posko Kembangan;1.1.7.01.03.08.003.00009;Stop Kontak;2024-11-25;BUAH;Lokal Standar Sni; 19,00 
65;Gudang Posko Kembangan;1.1.7.01.03.08.004.00006;Saklar Tunggal;2024-11-25;UNIT;Inbow; 12,00 
66;Gudang Posko Kembangan;1.1.7.01.03.08.004.00019;Saklar Ganda;2024-11-25;BUAH;Inbow; 9,00 
67;Gudang Posko Kembangan;1.1.7.01.03.08.008.00039;Fitting;2024-11-25;BUAH;"Plafond Standar; Gracio Series"; 30,00 
68;Gudang Posko Kembangan;1.1.7.01.03.09.007.00006;BLENCONG;2024-07-30;BUAH;BESI BAJA, RUNCING, PIPIH; 16,00 
69;Gudang Posko Kembangan;1.1.7.01.03.09.007.00044;Sekop;2024-07-24;BUAH;Ukuran Besar Bergagang Panjang 42,5 Cm, Lebar 30 Cm, Tebal 2,2 Mm; 27,00 
70;Gudang Posko Kembangan;1.1.7.01.05.01.002.00004;Pagar Brc;2024-11-12;LEMBAR;Dia 7 Mm, Tinggi 175 Cm (Hdg); 1,00 
71;Gudang Posko Kembangan;1.1.7.01.05.01.004.00099;METERAN;2022-12-15;BUAH;ROLLMETER, 7 METER; 9,00 
72;Gudang Posko Kembangan;1.1.7.01.05.01.004.00775;Wastafel;2024-11-25;BUAH;Royal, Panjang; 1,00 
73;Gudang Posko Kembangan;1.1.7.01.05.01.004.50264;Nampan;2024-11-25;BUAH;; 10,00 
74;Gudang Posko Kembangan;1.1.7.01.05.01.004.50418;Telescopic;2024-11-01;UNIT;5 M; 4,00 
75;Gudang Posko Kembangan;1.1.7.02.02.06.001.00001;Pipa kabel;2024-11-25;BATANG;Conduit 20mm; 180,00 
76;Gudang Posko Kembangan;1.1.7.02.02.06.001.00004;Pipa Pvc Dia. 1/ 2;2024-11-25;BATANG;Type Aw; 14,00 
77;Gudang Posko Kembangan;1.1.7.02.02.06.001.00107;Knee 90 Ukuran 2;2024-11-25;BUAH;Type Aw; 102,00 
78;Gudang Posko Kembangan;1.1.7.02.02.06.001.00108;Knee 90 Ukuran 3;2020-01-02;BUAH;Type Aw; 30,00 
79;Gudang Posko Kembangan;1.1.7.02.02.06.001.00110;"Knee 90 Ukuran 6""";2020-01-02;BUAH;Type Aw; 33,00 
80;Gudang Posko Kembangan;1.1.7.02.02.06.001.00125;Pipa Pvc Dia. 4;2022-12-31;BATANG;Type Aw; 264,00 
81;Gudang Posko Kembangan;1.1.7.02.02.06.001.00126;Pipa Pvc Dia. 5;2020-01-02;BATANG;Type Aw; 178,00 
82;Gudang Posko Kembangan;1.1.7.02.02.06.001.00127;Pipa Pvc Dia. 6;2020-01-02;BATANG;Type Aw; 250,00 
83;Gudang Posko Kembangan;1.1.7.02.02.06.001.00127;Pipa Pvc Dia. 6;2020-01-02;BATANG;Type Aw; 200,00 
84;Gudang Posko Kembangan;1.1.7.02.02.06.001.00127;Pipa Pvc Dia. 6;2020-01-02;BATANG;Type Aw; 28,00 
85;Gudang Posko Kembangan;1.1.7.02.02.06.001.00140;"Valve Socket 1/2""";2024-11-25;BUAH;Type AW; 8,00 
